movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20248861,굵고 강한 물건을 원하는 아내,,2024,20240411,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20236230,씬,The Sin,2024,20240403,장편,개봉,한국,공포(호러),한국,공포(호러)
20212668,도그데이즈,Dog Days,2023,20240207,장편,개봉,한국,드라마,한국,드라마
20249153,에스파: 월드 투어 인 시네마,aespa: WORLD TOUR in cinemas,2024,20240410,장편,개봉,한국,공연,한국,공연
20236614,쿵푸팬더4,Kung Fu Panda 4,2024,20240410,장편,개봉,미국,"애니메이션,액션,코미디",미국,애니메이션
20247973,어게인 1997,Once Again,2023,20240410,장편,개봉,한국,"판타지,드라마",한국,판타지
20248586,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,SUGA│Agust D TOUR 'D-DAY' THE MOVIE,2024,20240410,장편,개봉,한국,공연,한국,공연
20247780,비키퍼,The Beekeeper,2023,20240403,장편,개봉,미국,"액션,스릴러",미국,액션
20247673,오멘: 저주의 시작,The First Omen,2024,20240403,장편,개봉,미국,공포(호러),미국,공포(호러)
20235145,기적의 시작,The Origin of Miracles,2023,20240222,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20249219,정자 고파 찾아온 옆집여자,,2023,20240406,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249201,세우는 모녀와 새아들의 사정,,2023,20240406,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249200,상사와 지방출장-착즙당한 여사원,,2022,20240406,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249202,가사도우미-걸레질 잘 하고 잘 빨아요,,2023,20240406,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20248856,잘느끼는설탕의야한신음소리,,2024,20240405,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248696,어린 글래머의 마사지,,2024,20240405,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248669,너무 커져버린 과외쌤 오빠,,2024,20240405,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20249199,완벽한 마사지-경련 일으킨 유부녀,,2023,20240404,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249216,오일마사지에 허리 휘는 유부녀,,2023,20240404,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249218,쏠린 여상사 빨린 남직원,,2023,20240404,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249217,시아버지 잡는 굶주린 며느리,,2023,20240404,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20248859,남자 미치게 만드는 폭유녀들,,2024,20240404,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20249214,극장판 여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다...,My Next Life as a Villainess: All Routes Lead to Doom! Movie,2023,20240404,장편,개봉,일본,애니메이션,일본,애니메이션
20248860,거칠게 움켜쥔 대물,,2024,20240404,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248494,우당탕탕 운동회,,2023,20240403,장편,개봉,한국,기타,한국,기타
